时间,温度,相对湿度RH（%）
   22:41:25,18.6,93
   22:46:25,18.5,92.6
   22:51:25,18.4,91.9
   22:56:25,18.3,91.1
   23:01:25,18.3,90.5
   23:06:25,18.2,90.4
   23:11:25,18.1,91
   23:16:25,18,91.4
   23:21:25,17.9,91.4
   23:26:25,17.8,91.2
   23:31:25,17.8,90.9
   23:36:25,17.7,91.5
   23:41:25,17.6,92.1
   23:46:25,17.6,91.8
   23:51:25,17.5,91.4
   23:56:25,17.5,91.6
